date,confirm,cure,dead,province,suspect
2020-01-30,29,0,0,甘肃省,0.0
2020-01-30,39,1,0,山西省,0.0
2020-01-30,128,5,1,上海市,0.0
2020-01-30,31,0,0,天津市,0.0
2020-01-30,206,1,0,重庆市,0.0
2020-01-30,5806,116,204,湖北省,0.0
2020-01-30,5806,86,204,湖北省,0.0
2020-01-30,6,0,0,美国,0.0
2020-01-30,9,2,0,澳大利亚,0.0
2020-01-30,2,0,0,意大利,0.0
2020-01-30,5,0,0,德国,0.0
2020-01-30,121,5,1,北京市,0.0
2020-01-30,121,5,1,北京市,0.0
2020-01-30,114,4,1,北京市,0.0
2020-01-30,114,4,1,北京市,0.0
2020-01-30,76,0,0,云南省,0.0
2020-01-30,76,0,0,云南省,0.0
2020-01-30,19,0,0,内蒙古自治区,0.0
2020-01-30,19,0,0,内蒙古自治区,0.0
2020-01-30,31,0,0,天津市,0.0
2020-01-30,31,0,0,天津市,0.0
2020-01-30,44,0,2,黑龙江省,0.0
2020-01-30,44,0,2,黑龙江省,0.0
2020-01-30,4903,90,162,湖北省,0.0
2020-01-30,8,0,0,马来西亚,0.0
2020-01-30,4,0,0,阿联酋,0.0
2020-01-30,8,2,0,澳大利亚,0.0
2020-01-30,354,10,0,广东省,0.0
2020-01-30,8,0,0,青海省,0.0
2020-01-30,30,0,0,天津市,0.0
2020-01-30,30,0,0,天津市,0.0
2020-01-30,9,0,0,台湾,0.0
2020-01-30,1,0,0,印度,0.0
2020-01-30,354,8,0,广东省,0.0
2020-01-30,354,8,0,广东省,0.0
2020-01-30,354,7,0,广东省,0.0
2020-01-30,182,1,0,重庆市,0.0
2020-01-30,182,1,0,重庆市,0.0
2020-01-30,182,1,0,重庆市,0.0
2020-01-30,158,1,0,山东省,0.0
2020-01-30,158,1,0,山东省,0.0
2020-01-30,112,5,1,上海市,0.0
2020-01-30,112,5,1,上海市,0.0
2020-01-30,112,5,1,上海市,0.0
2020-01-30,311,7,0,广东省,0.0
2020-01-30,311,7,0,广东省,0.0
2020-01-30,46,1,1,海南省,0.0
2020-01-30,29,0,0,天津市,0.0
2020-01-30,29,0,0,天津市,0.0
2020-01-30,277,2,0,湖南省,0.0
2020-01-30,277,2,0,湖南省,0.0
2020-01-30,46,1,1,海南省,0.0
2020-01-30,41,1,0,辽宁省,0.0
2020-01-30,17,0,0,宁夏回族自治区,0.0
2020-01-30,278,2,2,河南省,0.0
2020-01-30,114,4,1,北京市,0.0
2020-01-30,162,5,0,江西省,0.0
2020-01-30,162,5,0,江西省,0.0
2020-01-30,17,0,0,宁夏回族自治区,0.0
2020-01-30,17,0,0,宁夏回族自治区,0.0
2020-01-30,18,0,0,内蒙古自治区,0.0
2020-01-30,63,0,0,陕西省,0.0
2020-01-30,18,0,0,内蒙古自治区,0.0
2020-01-30,63,0,0,陕西省,0.0
2020-01-30,63,0,0,陕西省,0.0
2020-01-30,28,0,0,天津市,0.0
2020-01-30,28,0,0,天津市,0.0
2020-01-30,101,0,0,福建省,0.0
2020-01-30,70,0,0,云南省,0.0
2020-01-30,162,4,0,江西省,0.0
2020-01-30,14,1,0,吉林省,0.0
2020-01-30,162,4,0,江西省,0.0
2020-01-30,277,0,0,湖南省,0.0
2020-01-30,311,6,0,广东省,0.0
2020-01-30,43,0,1,黑龙江省,0.0
2020-01-30,11,1,0,日本,0.0
2020-01-30,14,0,0,吉林省,0.0
2020-01-30,26,0,0,甘肃省,0.0
2020-01-30,428,4,0,浙江省,0.0
2020-01-30,278,2,2,河南省,0.0
2020-01-30,14,0,0,新疆维吾尔自治区,0.0
2020-01-30,278,2,1,河南省,0.0
2020-01-30,10,1,0,日本,0.0
2020-01-30,278,0,1,河南省,0.0
2020-01-30,12,1,0,贵州省,0.0
2020-01-30,200,2,0,安徽省,0.0
2020-01-30,145,1,0,山东省,0.0
2020-01-30,129,1,0,江苏省,0.0
2020-01-30,101,5,1,上海市,0.0
2020-01-30,142,1,1,四川省,0.0
2020-01-30,101,5,1,上海市,0.0
2020-01-30,142,1,1,四川省,0.0
2020-01-30,78,2,0,广西壮族自治区,0.0
2020-01-30,78,2,0,广西壮族自治区,0.0
2020-01-30,78,2,0,广西壮族自治区,0.0
2020-01-30,65,0,1,河北省,0.0
2020-01-30,101,11,1,上海市,0.0
2020-01-29,1,0,0,西藏自治区,0.0
2020-01-29,4586,90,162,湖北省,0.0
2020-01-29,4586,90,162,湖北省,0.0
2020-01-29,4586,90,162,湖北省,0.0
2020-01-29,165,1,0,重庆市,0.0
2020-01-29,162,3,0,江西省,0.0
2020-01-29,35,1,0,山西省,0.0
2020-01-29,5,0,0,法国,0.0
2020-01-29,1,0,0,芬兰,0.0
2020-01-29,3554,88,125,湖北省,0.0
2020-01-29,3554,88,125,湖北省,0.0
2020-01-29,3554,88,125,湖北省,0.0
2020-01-29,111,4,1,北京市,0.0
2020-01-29,111,4,1,北京市,0.0
2020-01-29,111,4,1,北京市,0.0
2020-01-29,111,4,1,北京市,0.0
2020-01-29,108,1,1,四川省,0.0
2020-01-29,108,1,0,四川省,0.0
2020-01-29,39,1,0,辽宁省,0.0
2020-01-29,13,0,0,新疆维吾尔自治区,0.0
